locus_tag	ftype	length_bp	gene	EC_number	COG	product
AHECGBEH_00001	CDS	1539	dnaA			chromosome replication initiator DnaA
AHECGBEH_00001	gene	1539	dnaA			
AHECGBEH_00002	CDS	1104	dnaN	2.7.7.7		DNA polymerase III subunit beta
AHECGBEH_00002	gene	1104	dnaN			
AHECGBEH_00003	CDS	1110	recF_1			DNA replication and repair protein RecF
AHECGBEH_00003	gene	1110	recF_1			
AHECGBEH_00004	CDS	2421	gyrB			DNA gyrase subunit B
AHECGBEH_00004	gene	2421	gyrB			
AHECGBEH_00005	CDS	774	lptA_1			lysophosphatidic acid acyltransferase
AHECGBEH_00005	gene	774	lptA_1			
AHECGBEH_00006	CDS	537				D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
AHECGBEH_00006	gene	537				
AHECGBEH_00007	CDS	1707				hypothetical protein
AHECGBEH_00007	gene	1707				
AHECGBEH_00008	CDS	2058	glyS	6.1.1.14		glycine--tRNA ligase subunit beta
AHECGBEH_00008	gene	2058	glyS			
AHECGBEH_00009	CDS	948	glyQ	6.1.1.14		glycine--tRNA ligase subunit alpha
AHECGBEH_00009	gene	948	glyQ			
AHECGBEH_00010	CDS	552	tag			DNA-3-methyladenine glycosidase I
AHECGBEH_00010	gene	552	tag			
AHECGBEH_00011	CDS	888				lipid A biosynthesis lauroyl acyltransferase
AHECGBEH_00011	gene	888				
AHECGBEH_00012	CDS	267				hypothetical protein
AHECGBEH_00012	gene	267				
AHECGBEH_00013	CDS	654	yhhQ		COG1738	Queuosine precursor transporter
AHECGBEH_00013	gene	654	yhhQ			
AHECGBEH_00014	CDS	273				hypothetical protein
AHECGBEH_00014	gene	273				
AHECGBEH_00015	CDS	318				hypothetical protein
AHECGBEH_00015	gene	318				
AHECGBEH_00016	CDS	1374	trkA			potassium transporter inner membrane associated protein
AHECGBEH_00016	gene	1374	trkA			
AHECGBEH_00017	CDS	1305				Ribosomal RNA small subunit methyltransferase B
AHECGBEH_00017	gene	1305				
AHECGBEH_00018	CDS	945	fmt	2.1.2.9		methionyl-tRNA formyltransferase
AHECGBEH_00018	gene	945	fmt			
AHECGBEH_00019	CDS	507	def_1	3.5.1.88		peptide deformylase
AHECGBEH_00019	gene	507	def_1			
AHECGBEH_00020	CDS	1026				hypothetical protein
AHECGBEH_00020	gene	1026				
AHECGBEH_00021	CDS	1089				hypothetical protein
AHECGBEH_00021	gene	1089				
AHECGBEH_00022	CDS	558				threonylcarbamoyl-AMP synthase
AHECGBEH_00022	gene	558				
AHECGBEH_00023	CDS	978	qor			oxygen-dependent quinone oxidoreductase
AHECGBEH_00023	gene	978	qor			
AHECGBEH_00024	CDS	918	hemF	1.3.3.3		coproporphyrinogen III oxidase
AHECGBEH_00024	gene	918	hemF			
AHECGBEH_00025	CDS	825	aroE	1.1.1.25		shikimate dehydrogenase
AHECGBEH_00025	gene	825	aroE			
AHECGBEH_00026	CDS	987	plcB			phospholipase C
AHECGBEH_00026	gene	987	plcB			
AHECGBEH_00027	CDS	1287	prsA	5.2.1.8		Foldase protein PrsA
AHECGBEH_00027	gene	1287	prsA			
AHECGBEH_00028	CDS	603				hypothetical protein
AHECGBEH_00028	gene	603				
AHECGBEH_00029	CDS	1554				sulfate transporter
AHECGBEH_00029	gene	1554				
AHECGBEH_00030	CDS	924				glycine betaine-binding protein
AHECGBEH_00030	gene	924				
AHECGBEH_00031	CDS	1512	betC			choline sulfatase
AHECGBEH_00031	gene	1512	betC			
AHECGBEH_00032	CDS	900				transcriptional regulator
AHECGBEH_00032	gene	900				
AHECGBEH_00033	CDS	378				DOPA 4,5-dioxygenase
AHECGBEH_00033	gene	378				
AHECGBEH_00034	CDS	366				hypothetical protein
AHECGBEH_00034	gene	366				
AHECGBEH_00035	CDS	624				two-component response regulator
AHECGBEH_00035	gene	624				
AHECGBEH_00036	CDS	807	trpA	4.2.1.20		tryptophan synthase subunit alpha
AHECGBEH_00036	gene	807	trpA			
AHECGBEH_00037	CDS	1209	trpB	4.2.1.20		tryptophan synthase subunit beta
AHECGBEH_00037	gene	1209	trpB			
AHECGBEH_00038	CDS	888	trpI			HTH-type transcriptional regulator TrpI
AHECGBEH_00038	gene	888	trpI			
AHECGBEH_00039	CDS	216			COG3360	Dodecin
AHECGBEH_00039	gene	216				
AHECGBEH_00040	CDS	222				hypothetical protein
AHECGBEH_00040	gene	222				
AHECGBEH_00041	CDS	1689				hypothetical protein
AHECGBEH_00041	gene	1689				
AHECGBEH_00042	CDS	10293				hemagglutinin
AHECGBEH_00042	gene	10293				
AHECGBEH_00043	CDS	174				transposase
AHECGBEH_00043	gene	174				
AHECGBEH_00044	CDS	3309				hemagglutinin
AHECGBEH_00044	gene	3309				
AHECGBEH_00045	CDS	282				hypothetical protein
AHECGBEH_00045	gene	282				
AHECGBEH_00046	CDS	282				hypothetical protein
AHECGBEH_00046	gene	282				
AHECGBEH_00047	CDS	222				hypothetical protein
AHECGBEH_00047	gene	222				
AHECGBEH_00048	CDS	693				transposase
AHECGBEH_00048	gene	693				
AHECGBEH_00049	CDS	693				transposase
AHECGBEH_00049	gene	693				
AHECGBEH_00050	CDS	2574				hypothetical protein
AHECGBEH_00050	gene	2574				
AHECGBEH_00051	CDS	486				hemagglutinin
AHECGBEH_00051	gene	486				
AHECGBEH_00052	CDS	693				transposase
AHECGBEH_00052	gene	693				
AHECGBEH_00053	CDS	396				hypothetical protein
AHECGBEH_00053	gene	396				
AHECGBEH_00054	CDS	1254				hypothetical protein
AHECGBEH_00054	gene	1254				
AHECGBEH_00055	CDS	132				hypothetical protein
AHECGBEH_00055	gene	132				
AHECGBEH_00056	CDS	1374	exoT			exoenzyme T
AHECGBEH_00056	gene	1374	exoT			
AHECGBEH_00057	CDS	687			COG1462	Putative lipoprotein/NMB1164
AHECGBEH_00057	gene	687				
AHECGBEH_00058	CDS	354				hypothetical protein
AHECGBEH_00058	gene	354				
AHECGBEH_00059	CDS	666			COG4380	Putative lipoprotein/NMB1162
AHECGBEH_00059	gene	666				
AHECGBEH_00060	CDS	384				transcriptional regulator
AHECGBEH_00060	gene	384				
AHECGBEH_00061	CDS	1662				putative protein
AHECGBEH_00061	gene	1662				
AHECGBEH_00062	CDS	141				hypothetical protein
